model,fit_intercept,mean_score,fold_scores,timestamp
linear regression,False,-46.341706085205075,"[-70.49513244628906, -53.06315612792969, -9.381885528564453, -61.90748596191406, -36.860870361328125]",2025-05-12T12:24:05.004174
linear regression,True,0.026604616641998292,"[-0.20772814750671387, -0.31918060779571533, 0.6424720287322998, -0.1802290678024292, 0.19768887758255005]",2025-05-12T12:24:05.001555
