model,rmse_train,rmse_test,dynamic_params
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x00000276479D0140>,12.637263298034668,26.8979549407959,"{'max_depth': 10, 'tournament_size': 2, 'prob_const': 0.7, 'slim_version': 'SLIM*ABS'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x00000276478B53D0>,14.414572715759277,16.351947784423828,"{'max_depth': 10, 'tournament_size': 2, 'prob_const': 0.7, 'slim_version': 'SLIM*ABS'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x0000027647A060F0>,14.149429321289062,16.895389556884766,"{'max_depth': 15, 'tournament_size': 2, 'prob_const': 0.7, 'slim_version': 'SLIM*ABS'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x000002764789E240>,14.755481719970703,13.460365295410156,"{'max_depth': 10, 'tournament_size': 5, 'prob_const': 0.7, 'slim_version': 'SLIM*ABS'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x000002764793FCE0>,15.279261589050293,6.734360218048096,"{'max_depth': 10, 'tournament_size': 5, 'prob_const': 0.7, 'slim_version': 'SLIM*SIG1'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x00000276478368A0>,14.637968063354492,10.02050495147705,"{'max_depth': 10, 'tournament_size': 2, 'prob_const': 0.7, 'slim_version': 'SLIM*ABS'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x00000276477F0E00>,14.152355194091797,14.833093643188477,"{'max_depth': 10, 'tournament_size': 5, 'prob_const': 0.7, 'slim_version': 'SLIM*ABS'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x0000027647706750>,14.708431243896484,12.754788398742676,"{'max_depth': 10, 'tournament_size': 5, 'prob_const': 0.7, 'slim_version': 'SLIM*SIG1'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x0000027647A077A0>,14.71176528930664,11.431105613708496,"{'max_depth': 10, 'tournament_size': 5, 'prob_const': 0.7, 'slim_version': 'SLIM*ABS'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x00000276476B8170>,14.535831451416016,15.147391319274902,"{'max_depth': 10, 'tournament_size': 5, 'prob_const': 0.7, 'slim_version': 'SLIM*ABS'}"
