WING TAG;WEIGHT;HOT CARCASS WEIGHT;CARCASS WEIGHT WITH HEAD AND LEGS;COLD CARCASS WEIGHT;BREAST WEIGHT (2);THIGH WEIGHT (2);SPLEEN;LIVER;HEART;INTESTINE;EMPTY MUSCULAR STOMACH;GLANDULAR STOMACH;CRUDE PROTEIN;ETHER EXTRACT
G474;2573.5;1718.5;2010.2;1684.9;243.8;614.3;4.471;38.17;10.662;64.2;42.66;7.248;87.36281235;1.02
G423;2587;1718.5;2030.9;1677.7;243.1;593.6;4.688;43.069;13.447;81.521;32.12;12.371;88.58175474;1.54
A470;2197.2;1391.6;1694.4;1362.8;177.1;522.2;2.917;41.955;10.429;75.748;43.964;7.172;89.53041036;0.77
G415;2418;1572.4;1887.1;1526.5;234.8;554.3;5.96;40.922;16.19;72.783;75.767;7.42;87.14756944;1.67
R445;2300.3;1394.1;1668.1;1357.8;210.4;487.5;3.304;33.573;14.471;44.133;45.327;7.095;87.96693735;0.94
R433;2303.9;1456.4;1774.5;1421;188;533.8;3.995;41.659;12.55;67.985;42.129;8.356;87.80427223;1.78
R431;2602.3;1720.5;2053.1;1687.6;268.1;582.5;3.258;40.34;15.335;60.697;47.964;7.264;86.04511101;4.71
R449;2519.9;1651.8;1958.9;1616.7;242.4;555.8;2.997;34.739;10.852;69.4;44.811;7.903;88.72188379;0.78
R469;2374.8;1561.5;1894.8;1529.3;228.5;563.1;5.113;35.849;11.512;61.281;32.599;6.19;88.39171975;1.69
R476;2298.7;1520.1;1842.1;1484.6;225.4;563.4;3.664;29.157;12.625;50.05;32.947;5.497;89.00959759;1.64
R275;2212.2;1372.9;1658.4;1340;192;482.1;3.124;43.689;15.169;56.349;38.155;6.147;85.02849356;2.86
R427;2653;1744.8;2037.1;1697.1;257.6;610.5;5.952;44.001;11.252;76.283;48.009;6.786;87.27863385;2.31
R479;2036.6;1292.1;1554.4;1266.6;189.8;444.9;3.794;32.442;10.026;60.47;56.347;6.541;87.55492516;1.19
R464;2406.6;1425.9;1753.3;1383.3;195.7;525;3.873;53.133;8.561;78.876;59.583;7.017;87.45037807;2.91
R421;2467.4;1607.8;1906.6;1573.7;212.6;528.3;3.663;39.768;12.103;69;51.322;7;88.33066896;1.17
R462;2575.7;1830.7;2114.8;1771.9;287;634.8;4.946;34.897;17.083;68.516;58.708;9.849;89.07773308;0.99
B474;2364;1530.5;1847.5;1495.8;221.9;552.1;4.187;47.639;12.888;85.77;41.917;7.195;86.86851601;1.3
B465;2521.5;1678.2;2031;1639.3;235;608.5;4.733;39.233;12.279;62.282;40.425;8.269;89.44758065;0.68
B469;2645.5;1633.3;2011.1;1599.1;236;580.9;6.043;51.161;11.569;88.831;51.903;6.261;88.60882614;1.7
B425;2890.5;1929.4;2262.8;1891.7;275.4;665.1;3.638;38.77;12.36;80.954;56.698;9.55;87.66685144;1.89
B483;2145.3;1392.6;1696.3;1362;186.6;507.7;4.557;32.588;12.021;47.955;40.7;5.58;87.6940133;1.97
B427;2777.8;1808.8;2158.6;1760;248.9;637;4.968;44.706;14.185;80.961;45.321;7.097;89.01065022;1.71
B497;2419.6;1592.2;1882.5;1550.6;233.8;537.3;4.88;36.563;10.697;66.436;55.671;7.488;89.62450155;1.87
B486;2362.3;1501.9;1826.5;1459.7;196.8;555.1;3.957;42.504;10.362;68.32;68.602;9.263;89.48600705;0.57
B438;2721.5;1780.9;2117.8;1752.4;244.2;587.6;5.415;36.965;11.603;78.162;44.006;8.109;88.98426237;1.71
B493;2633.4;1738.9;2033.9;1676.8;232.4;559.5;3.406;36.364;14.053;78.271;54.71;8.837;88.43059937;1.15
B461;2475.6;1656.7;1964.4;1617.7;229.5;598.7;4.008;41.204;13.448;61.12;45.636;6.94;88.63668224;1.58
B401;2824.3;1892.8;2226.2;1844.3;273.6;690.6;6.59;36.965;14.265;70.521;34.692;8.105;90.24053628;0.32
V419;2261.7;1431.5;1740;1398.1;533.2;177.8;3.225;43.454;13.066;82.294;48.933;7.635;86.57736636;3.98
V445;2473.2;1610.2;1944.4;1573.7;226.9;575.8;4.295;38.853;12.781;67.503;45.045;8.965;87.43846695;1.94
V465;2615.2;1744.8;2032.9;1715;267;650.5;5.108;36.165;11.755;70.848;48.02;9.31;88.90925481;0.6
V418;2459.9;1560.3;1916.4;1514.6;234.8;569.1;2.967;41.033;11.098;67.694;42.632;7.432;88.7257117;1.6
V436;2230.6;1447.8;1760.4;1420.2;205.3;505.8;2.959;30.909;8.821;62.251;45.366;6.322;88.84212345;1.8
V442;2703.6;1817.2;2142.2;1768.4;259.4;628.3;4.976;34.663;13.985;66.565;52.457;8.013;88.83152174;0.48
V403;2544.6;1674.9;2012.5;1642.9;228.4;614.1;4.899;40.36;14.096;67.968;49.281;9.366;87.82095369;2.39
V476;2633.1;1683.2;2034.1;1637.2;213.8;610.9;4.777;45.992;12.796;74.888;54.021;7.857;88.99912587;1.07
V454;2346.2;1547.8;1819.5;1511.2;228;528.2;3.673;35.09;11.504;68.455;42.173;7.837;88.50728755;1.13
V425;2648.2;1722.9;2050;1669.8;253.1;610;5.176;50.505;17.194;81.502;49.7;7.332;90.37558685;1.91
V490;2262.6;1498.5;1813.9;1468;212.1;548.4;2.829;30.266;11.129;53.011;46.816;5.425;91.21135266;2.21
V428;2704.3;1698.8;2038.8;1655.6;245.7;606.9;5.96;40.922;16.19;72.783;75.767;7.42;88.8250448;1.51
