0,1,2,3,4,5,6,7,8,9,10,11,12,params
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,19,20.574142456054688,0.007415771484375,6576.0,17.414770126342773,229,tensor(0.3956),0.0468499,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,20,20.56070709228516,0.0070047378540039,7292.0,17.398696899414062,235,tensor(1.3229),0.11429995,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,21,20.452178955078125,0.0057735443115234,8368.0,17.267873764038086,235,tensor(1.4182),0.11329553,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,22,20.41255760192871,0.005725622177124,10232.0,17.220212936401367,241,tensor(1.0890),0.08814377,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,23,20.405969619750977,0.005882978439331,11632.0,17.21218490600586,247,tensor(0.9114),0.071204886,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,24,20.246381759643555,0.0061583518981933,16304.0,17.01924705505371,247,tensor(0.6447),0.05546819,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,25,20.2202091217041,0.0063302516937255,20500.0,16.98650550842285,259,tensor(1.2744),0.10528581,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,26,20.0582275390625,0.0062735080718994,13766.0,16.790430068969727,253,tensor(1.3616),0.09673302,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,27,20.0487060546875,0.0056688785552978,16838.0,16.778146743774414,529,tensor(1.0015),0.074428715,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,28,20.0487060546875,0.0059709548950195,16208.0,16.778146743774414,529,tensor(1.0067),0.0757729,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,29,19.71821403503418,0.0063385963439941,18158.0,16.373987197875977,1069,tensor(1.0778),0.098910995,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,30,19.71821403503418,0.0052595138549804,31346.0,16.373987197875977,1069,tensor(1.5238),0.1313428,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,31,19.71821403503418,0.0062787532806396,54272.0,16.373987197875977,1069,tensor(2.1491),0.17036158,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,32,19.61029052734375,0.0059549808502197,79160.0,16.23928451538086,3229,tensor(0.7184),0.059525013,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,33,19.42373275756836,0.006789207458496,105608.0,16.01076316833496,1885,tensor(1.3467),0.11603952,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,34,19.42373275756836,0.0065667629241943,135998.0,16.01076316833496,1885,tensor(1.1861),0.110061176,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,35,19.2781925201416,0.0067625045776367,187712.0,15.82870388031006,10531,tensor(1.8196),0.15255272,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,36,19.2781925201416,0.0075223445892333,230804.0,15.82870388031006,10531,tensor(1.6411),0.124204986,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,37,19.2781925201416,0.0065703392028808,272324.0,15.82870388031006,10531,tensor(1.7874),0.13146213,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,38,19.15939140319824,0.0076696872711181,358310.0,15.680484771728516,10537,tensor(1.1741),0.0855587,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,39,18.92583274841309,0.0062813758850097,464066.0,15.382814407348633,27595,tensor(1.5832),0.11913334,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,40,18.92583274841309,0.0064284801483154,710552.0,15.382814407348633,27595,tensor(2.4826),0.18630499,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,41,18.86566162109375,0.0055654048919677,1131410.0,15.310985565185549,48691,tensor(1.4157),0.12211892,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,42,18.751304626464844,0.0058200359344482,1741160.0,15.1669340133667,48697,tensor(0.9101),0.060303606,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,43,18.751304626464844,0.0058329105377197,2418242.0,15.1669340133667,48697,tensor(1.4288),0.1113898,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,44,18.638805389404297,0.0055201053619384,3904574.0,15.023260116577148,243523,tensor(1.3089),0.09691098,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,45,18.638805389404297,0.006350040435791,5437874.0,15.023260116577148,243523,tensor(1.4416),0.11255839,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
